"Tipo de Cáncer","Localización","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Labio","Vaupés","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Vichada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lengua","Amazonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lengua","Antioquia","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.6"
"Lengua","Arauca","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0","0.4","0.4","0.4","0.6","0.6","0.6","0.7","0.7"
"Lengua","Archipiélago de San Andrés, Providencia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lengua","Atlántico","0.4","0.4","0.5","0.4","0.3","0.4","0.4","0.3","0.4","0.4","0.4","0.3","0.3","0.3","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4"
"Lengua","Bogotá D.C","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.6","0.5","0.5","0.5"
"Lengua","Bolívar","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4"
"Lengua","Boyacá","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4"
"Lengua","Caldas","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.5"
"Lengua","Caquetá","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2"
"Lengua","Casanare","0.4","0.4","0.4","0.4","0","0","0","0","0.7","0.5","0.5","0.5","0.5","0.3","0.9","0.6","0.6","0.6","0.7","0.6","0.6","0.7","0.7"
"Lengua","Cauca","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1"
"Lengua","Cesar","0","0","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.3","0.3","0.3","0.4","0.4","0.4"
"Lengua","Chocó","0","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.3","0.4","0.4","0.4","0.3","0.2","0.3","0.3","0.3"
"Lengua","Córdoba","0.3","0.3","0.2","0.2","0.3","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3"
"Lengua","Cundinamarca","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.3","0.3","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"Lengua","Guainía","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","2.5","2.5","2.5","2.5","0","0","2.3","2.3","2.3"
"Lengua","Guaviare","0","2.2","2.2","2.2","2.2","2.2","1","1","1","1","1","0","1","1","1","1","1","0","0","0.9","0.9","0.9","0.9"
"Lengua","Huila","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.5","0.3","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.6"
"Lengua","La Guajira","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2"
"Lengua","Magdalena","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.2","0.2","0.3","0.3"
"Lengua","Meta","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.4","0.4","0.4","0.3","0.4","0.3","0.3","0.3","0.4","0.3","0.4"
"Lengua","Nariño","0","0.1","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.4","0.3","0.3","0.4"
"Lengua","Norte de Santander","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.2","0.4","0.4","0.4","0.5","0.6","0.5","0.6","0.5","0.4","0.4","0.4","0.4","0.5","0.6"
"Lengua","Putumayo","0","0","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0","0","0","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"Lengua","Quindio","0.3","0.3","0.3","0.2","0.3","0.4","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.5"
"Lengua","Risaralda","0.3","0.2","0.3","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.5"
"Lengua","Santander","0.2","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.7","0.6","0.7","0.7","0.7","0.7","0.7","0.7"
"Lengua","Sucre","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2"
"Lengua","Tolima","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.6","0.5","0.4","0.4"
"Lengua","Valle del Cauca","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.7"
"Lengua","Vaupés","0","0","0","0","0","0","0","2.5","2.5","2.5","2.5","2.5","2.5","2.5","0","0","0","0","0","0","0","0","0"
"Lengua","Vichada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cavidad oral","Amazonas","0","0","0","0","0","0","0","0","0","1.4","1.4","1.4","1.4","1.4","0","0","0","0","0","0","0","0","0"
"Cavidad oral","Antioquia","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Arauca","1","1","1","1","0","0","0.4","0.4","0.4","0.4","0.4","0","0.4","0.4","0.4","0.4","0.4","0.8","0.6","0.6","0.6","0.6","0.4"
"Cavidad oral","Archipiélago de San Andrés, Providencia","1.5","1.5","1.5","1.5","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","1.3","1.3","1.3"
"Cavidad oral","Atlántico","0.3","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4"
"Cavidad oral","Bogotá D.C","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Bolívar","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3"
"Cavidad oral","Boyacá","0.1","0.1","0.1","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.1","0.2","0.3","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.3"
"Cavidad oral","Caldas","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2"
"Cavidad oral","Caquetá","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cavidad oral","Casanare","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0"
"Cavidad oral","Cauca","0.3","0.3","0.3","0.3","0.2","0.2","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.2","0.1","0.1","0.1","0.2","0.2","0.2"
"Cavidad oral","Cesar","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.3"
"Cavidad oral","Chocó","0.2","0.2","0.3","0.4","0.4","0.4","0.4","0.3","0.2","0.2","0.2","0.4","0.4","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0","0"
"Cavidad oral","Córdoba","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3"
"Cavidad oral","Cundinamarca","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Guainía","0","0","0","0","0","0","0","0","0","0","0","2.6","2.6","2.6","2.6","2.6","2.4","2.4","2.4","2.4","2.4","0","0"
"Cavidad oral","Guaviare","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0"
"Cavidad oral","Huila","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.3","0.3","0.2","0.2","0.3","0.4","0.4","0.3","0.3","0.2","0.2","0.1","0.2"
"Cavidad oral","La Guajira","0.2","0.2","0.2","0","0","0.3","0.3","0.3","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1"
"Cavidad oral","Magdalena","0.3","0.3","0.3","0.3","0.2","0.2","0.3","0.3","0.4","0.4","0.4","0.5","0.4","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.1","0.1","0.2"
"Cavidad oral","Meta","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.4","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Nariño","0.1","0.2","0.2","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Norte de Santander","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.2","0.3","0.3"
"Cavidad oral","Putumayo","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0","0","0","0.3","0.3","0.3","0.3","0.3"
"Cavidad oral","Quindio","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.2","0.4","0.4","0.3","0.4","0.3","0.3","0.3"
"Cavidad oral","Risaralda","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.4","0.3","0.3","0.2","0.2","0.2","0.2"
"Cavidad oral","Santander","0.3","0.3","0.3","0.3","0.4","0.3","0.3","0.4","0.3","0.3","0.3","0.3","0.2","0.3","0.2","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.6"
"Cavidad oral","Sucre","0.4","0.3","0.3","0.2","0.2","0.2","0.3","0.4","0.4","0.4","0.4","0.3","0.3","0.2","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3"
"Cavidad oral","Tolima","0.1","0.2","0.2","0.3","0.3","0.4","0.3","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Cavidad oral","Valle del Cauca","0.2","0.3","0.3","0.2","0.3","0.3","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3"
"Cavidad oral","Vaupés","2.8","2.8","2.8","2.8","2.8","0","0","0","2.5","2.5","2.5","2.5","2.5","0","0","0","0","0","0","0","0","0","0"
"Cavidad oral","Vichada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glándulas salivares","Amazonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6","2.6","2.6","2.6","2.6","0","0"
"Glándulas salivares","Antioquia","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Arauca","0","0","0","0","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0"
"Glándulas salivares","Archipiélago de San Andrés, Providencia","0","0","0","0","1.4","1.4","1.4","1.4","1.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glándulas salivares","Atlántico","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3"
"Glándulas salivares","Bogotá D.C","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2"
"Glándulas salivares","Bolívar","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2"
"Glándulas salivares","Boyacá","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Caldas","0.2","0.3","0.3","0.4","0.3","0.3","0.2","0.2","0.2","0.3","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.3","0.3"
"Glándulas salivares","Caquetá","0","0","0","0","0","0","0","0","0","0","0","0.2","0.3","0.3","0.3","0.3","0.3","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Casanare","0","0","0","0","0","0","0","0","0","0","0","0","0.6","0.6","0.6","0.6","0.6","0.3","0.3","0.3","0.3","0.3","0.4"
"Glándulas salivares","Cauca","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1"
"Glándulas salivares","Cesar","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.3","0.3","0.3","0.3","0.2","0.1","0.1","0.1","0.2","0.3","0.3","0.3","0.4","0.3"
"Glándulas salivares","Chocó","0","0","0","0","0","0","0","0","0","0","0","0.6","0.4","0.6","0.6","0.6","0.5","0.8","0","0","0","0","0"
"Glándulas salivares","Córdoba","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Glándulas salivares","Cundinamarca","0.1","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Guainía","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glándulas salivares","Guaviare","0","0","0","0","0","0","1","1","1","1","1","0","0","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9","0.9"
"Glándulas salivares","Huila","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.4","0.5"
"Glándulas salivares","La Guajira","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Glándulas salivares","Magdalena","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Meta","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.2","0.1","0.1","0.1"
"Glándulas salivares","Nariño","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1"
"Glándulas salivares","Norte de Santander","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.3"
"Glándulas salivares","Putumayo","0","0","0","0.7","0.7","0.7","0.7","0.7","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"Glándulas salivares","Quindio","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.3","0.3","0.4","0.4","0.5","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.5","0.5"
"Glándulas salivares","Risaralda","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.3","0.3"
"Glándulas salivares","Santander","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.2"
"Glándulas salivares","Sucre","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.3","0.3","0.5"
"Glándulas salivares","Tolima","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Valle del Cauca","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"Glándulas salivares","Vaupés","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Glándulas salivares","Vichada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amigdala","Amazonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amigdala","Antioquia","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Arauca","0","0","0","0","0","0","0","0","0","0.4","0.4","0.4","0.4","0.4","0","0","0","0","0","0","0","0","0"
"Amigdala","Archipiélago de San Andrés, Providencia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","1.3","1.3","1.3","1.3","0"
"Amigdala","Atlántico","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Bogotá D.C","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2"
"Amigdala","Bolívar","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Boyacá","0","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0.1"
"Amigdala","Caldas","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.2","0.2"
"Amigdala","Caquetá","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0.4","0.4","0.4","0.4","0","0","0"
"Amigdala","Casanare","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0.3"
"Amigdala","Cauca","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2"
"Amigdala","Cesar","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Chocó","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0","0.2","0.2","0.2","0.2","0.2","0"
"Amigdala","Córdoba","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Cundinamarca","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Amigdala","Guainía","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amigdala","Guaviare","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amigdala","Huila","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
